"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","ELECTRICITY","TOT","GWH","A","1991",493639,
"CAN","ELECTRICITY","TOT","GWH","A","1992",505218,
"CAN","ELECTRICITY","TOT","GWH","A","1993",516824,
"CAN","ELECTRICITY","TOT","GWH","A","1994",539261,
"CAN","ELECTRICITY","TOT","GWH","A","1995",543681,
"CAN","ELECTRICITY","TOT","GWH","A","1996",557044,
"CAN","ELECTRICITY","TOT","GWH","A","1997",556922,
"CAN","ELECTRICITY","TOT","GWH","A","1998",544662,
"CAN","ELECTRICITY","TOT","GWH","A","1999",561558,
"CAN","ELECTRICITY","TOT","GWH","A","2000",587127,
"CAN","ELECTRICITY","TOT","GWH","A","2001",570971,
"CAN","ELECTRICITY","TOT","GWH","A","2002",582533,
"CAN","ELECTRICITY","TOT","GWH","A","2003",570895,
"CAN","ELECTRICITY","TOT","GWH","A","2004",580847,
"CAN","ELECTRICITY","TOT","GWH","A","2005",601522,
"CAN","ELECTRICITY","TOT","GWH","A","2006",591051,
"CAN","ELECTRICITY","TOT","GWH","A","2007",608366,
"CAN","ELECTRICITY","TOT","GWH","A","2008",613790,
"CAN","ELECTRICITY","TOT","GWH","A","2009",590503,
"CAN","ELECTRICITY","TOT","GWH","A","2010",584570,
"CAN","ELECTRICITY","TOT","GWH","A","2011",614373,
"CAN","ELECTRICITY","TOT","GWH","A","2012",613539,
"CAN","ELECTRICITY","TOT","GWH","A","2013",638514,
"CAN","ELECTRICITY","TOT","GWH","A","2014",639294,
"CAN","ELECTRICITY","TOT","GWH","A","2015",638693,
"CAN","ELECTRICITY","TOT","GWH","A","2016",646722,
"CAN","ELECTRICITY","TOT","GWH","A","2017",644651,
"CAN","ELECTRICITY","TOT","GWH","A","2018",640362,
"CAN","ELECTRICITY","TOT","GWH","A","2019",634242,
"CAN","ELECTRICITY","TOT","GWH","A","2020",633439,
"CAN","ELECTRICITY","TOT","GWH","A","2021",625271,
"CAN","ELECTRICITY","TOT","GWH","A","2022",,"L"
"CZE","ELECTRICITY","TOT","GWH","A","1990",58125,
"CZE","ELECTRICITY","TOT","GWH","A","1991",56377,
"CZE","ELECTRICITY","TOT","GWH","A","1992",55370,
"CZE","ELECTRICITY","TOT","GWH","A","1993",54984,
"CZE","ELECTRICITY","TOT","GWH","A","1994",54853,
"CZE","ELECTRICITY","TOT","GWH","A","1995",56880,
"CZE","ELECTRICITY","TOT","GWH","A","1996",59899,
"CZE","ELECTRICITY","TOT","GWH","A","1997",59956,
"CZE","ELECTRICITY","TOT","GWH","A","1998",60264,
"CZE","ELECTRICITY","TOT","GWH","A","1999",60092,
"CZE","ELECTRICITY","TOT","GWH","A","2000",68014,
"CZE","ELECTRICITY","TOT","GWH","A","2001",68780,
"CZE","ELECTRICITY","TOT","GWH","A","2002",70393,
"CZE","ELECTRICITY","TOT","GWH","A","2003",76659,
"CZE","ELECTRICITY","TOT","GWH","A","2004",77919,
"CZE","ELECTRICITY","TOT","GWH","A","2005",76192,
"CZE","ELECTRICITY","TOT","GWH","A","2006",77884,
"CZE","ELECTRICITY","TOT","GWH","A","2007",81412,
"CZE","ELECTRICITY","TOT","GWH","A","2008",77085,
"CZE","ELECTRICITY","TOT","GWH","A","2009",75990,
"CZE","ELECTRICITY","TOT","GWH","A","2010",78302,
"CZE","ELECTRICITY","TOT","GWH","A","2011",79908,
"CZE","ELECTRICITY","TOT","GWH","A","2012",80309,
"CZE","ELECTRICITY","TOT","GWH","A","2013",79777,
"CZE","ELECTRICITY","TOT","GWH","A","2014",79116,
"CZE","ELECTRICITY","TOT","GWH","A","2015",76916,
"CZE","ELECTRICITY","TOT","GWH","A","2016",76398,
"CZE","ELECTRICITY","TOT","GWH","A","2017",79891.658,
"CZE","ELECTRICITY","TOT","GWH","A","2018",80886.203,
"CZE","ELECTRICITY","TOT","GWH","A","2019",80141.485,
"CZE","ELECTRICITY","TOT","GWH","A","2020",75118.048,
"CZE","ELECTRICITY","TOT","GWH","A","2021",78542.584,
"CZE","ELECTRICITY","TOT","GWH","A","2022",,"L"
"DNK","ELECTRICITY","TOT","GWH","A","1990",24282,
"DNK","ELECTRICITY","TOT","GWH","A","1991",34328,
"DNK","ELECTRICITY","TOT","GWH","A","1992",28825,
"DNK","ELECTRICITY","TOT","GWH","A","1993",31959,
"DNK","ELECTRICITY","TOT","GWH","A","1994",38266,
